Unternehmen,Ticker,Gewichtung_pct
Siemens,SIE.DE,11.76
Allianz,ALV.DE,9.11
SAP,SAP.DE,7.87
Siemens Energy,ENR.DE,7.82
Airbus,AIR.DE,6.76
Infineon,IFX.DE,6.30
Deutsche Telekom,DTE.DE,5.34
Munich Re,MUV2.DE,3.59
Deutsche Bank,DBK.DE,3.43
DHL Group,DHL.DE,2.95
Bayer,BAYN.DE,2.72
Deutsche Börse,DB1.DE,2.64
Rheinmetall,RHM.DE,2.60
BASF,BAS.DE,2.54
E.ON,EOAN.DE,2.38
RWE,RWE.DE,2.08
Mercedes-Benz,MBG.DE,1.89
adidas,ADS.DE,1.88
Heidelberg Materials,HEI.DE,1.38
Daimler Truck,DTG.DE,1.27
MTU Aero Engines,MTX.DE,1.15
Merck,MRK.DE,1.12
BMW,BMW.DE,1.00
Fresenius,FRE.DE,0.97
Volkswagen Vz.,VOW3.DE,0.94
Vonovia,VNA.DE,0.92
Hannover Rück,HNR1.DE,0.84
Commerzbank,CBK.DE,0.82
Siemens Healthineers,SHL.DE,0.75
Symrise,SY1.DE,0.69
Henkel Vz.,HEN3.DE,0.65
Hochtief,HOT.DE,0.52
GEA Group,G1A.DE,0.52
Continental,CON.DE,0.47
Fresenius Medical Care,FME.DE,0.46
Qiagen,QIA.DE,0.42
Beiersdorf,BEI.DE,0.39
Zalando,ZAL.DE,0.37
Brenntag,BNR.DE,0.37
Scout24,G24.DE,0.31
