Unternehmen,Ticker,Gewichtung_pct
Goldman Sachs Group Inc.,GS,11.659299
Caterpillar Inc.,CAT,11.406127
Unitedhealth Group Inc.,UNH,4.892947
Microsoft Corp.,MSFT,4.264933
Amgen Inc.,AMGN,4.097524
Home Depot Inc.,HD,3.989234
Sherwin Williams Co.,SHW,3.934460
American Express Co.,AXP,3.892036
Alphabet Inc. Cl A,GOOGL,3.858103
Visa Inc. Class A Shares,V,3.844809
Jpmorgan Chase + Co.,JPM,3.762706
Travelers Cos Inc.,TRV,3.743495
Apple Inc.,AAPL,3.245041
Intl Business Machines Corp.,IBM,3.106105
Mcdonald S Corp.,MCD,3.084721
Johnson + Johnson,JNJ,2.912052
Amazon.Com Inc.,AMZN,2.660824
Boeing Co.,BA,2.484266
Nvidia Corp.,NVDA,2.201592
Chevron Corp.,CVX,1.956081
3m Co.,MMM,1.875464
Salesforce Inc.,CRM,1.810970
Procter + Gamble Co.,PG,1.704052
Merck + Co.. Inc..,MRK,1.471235
Honeywell International Inc.,HON,1.337127
Walmart Inc.,WMT,1.322922
Cisco Systems Inc.,CSCO,1.300967
Walt Disney Co.,DIS,1.129669
Coca Cola Co.,KO,0.944879
Nike Inc. Cl B,NKE,0.465979
