Unternehmen,Ticker,Gewichtung_pct
Nvidia Corp.,NVDA,7.375684
Apple Inc.,AAPL,6.592400
Microsoft Corp.,MSFT,4.382108
Amazon.Com Inc.,AMZN,3.602655
Alphabet Inc. Cl A,GOOGL,3.129012
Broadcom Inc.,AVGO,2.733437
Alphabet Inc. Cl C,GOOG,2.501915
Micron Technology Inc.,MU,2.019616
Meta Platforms Inc. Class A,META,1.911125
Tesla Inc.,TSLA,1.690668
Eli Lilly + Co.,LLY,1.511410
Berkshire Hathaway Inc. Cl B,BRK-B,1.445812
Jpmorgan Chase + Co.,JPM,1.394392
Advanced Micro Devices,AMD,1.345046
Johnson + Johnson,JNJ,0.969412
Intel Corp.,INTC,0.958714
Exxon Mobil Corp.,XOM,0.894978
Visa Inc. Class A Shares,V,0.882471
Walmart Inc.,WMT,0.802038
Applied Materials Inc.,AMAT,0.786657
Lam Research Corp.,LRCX,0.749674
Caterpillar Inc.,CAT,0.726488
Cisco Systems Inc.,CSCO,0.710603
Abbvie Inc.,ABBV,0.707774
Costco Wholesale Corp.,COST,0.668228
Mastercard Inc. A,MA,0.636670
Unitedhealth Group Inc.,UNH,0.614418
General Electric,GE,0.608743
Bank Of America Corp.,BAC,0.597513
Home Depot Inc.,HD,0.549398
Procter + Gamble Co.,PG,0.548670
Kla Corp.,KLAC,0.513543
Chevron Corp.,CVX,0.506339
Coca Cola Co.,KO,0.505884
Merck + Co.. Inc..,MRK,0.502606
Netflix Inc.,NFLX,0.491408
Sandisk Corp.,SNDK,0.489549
Goldman Sachs Group Inc.,GS,0.475587
Philip Morris International,PM,0.445624
Ge Vernova Inc.,GEV,0.444066
Texas Instruments Inc.,TXN,0.410969
Palantir Technologies Inc. A,PLTR,0.409959
Wells Fargo + Co.,WFC,0.405902
Intl Business Machines Corp.,IBM,0.403803
Morgan Stanley,MS,0.402010
Rtx Corp.,RTX,0.400426
Oracle Corp.,ORCL,0.398488
Palo Alto Networks Inc.,PANW,0.390208
Citigroup Inc.,C,0.382422
Linde PLC,LIN,0.379990
Marvell Technology Inc.,MRVL,0.369436
Western Digital Corp.,WDC,0.319719
Seagate Technology Holdings,STX,0.319155
Amphenol Corp. Cl A,APH,0.318677
Qualcomm Inc.,QCOM,0.315837
Verizon Communications Inc.,VZ,0.307468
Pepsico Inc.,PEP,0.305754
Amgen Inc.,AMGN,0.305686
Mcdonald S Corp.,MCD,0.303260
Thermo Fisher Scientific Inc.,TMO,0.301630
Analog Devices Inc.,ADI,0.298866
Nextera Energy Inc.,NEE,0.292197
American Express Co.,AXP,0.286591
Crowdstrike Holdings Inc. A,CRWD,0.282371
Corning Inc.,GLW,0.273915
Tjx Companies Inc.,TJX,0.271944
Walt Disney Co.,DIS,0.271421
Boeing Co.,BA,0.270968
Abbott Laboratories,ABT,0.259379
Arista Networks Inc.,ANET,0.257463
Welltower Inc.,WELL,0.253902
Union Pacific Corp.,UNP,0.252079
Gilead Sciences Inc.,GILD,0.251212
At+t Inc.,T,0.249775
Eaton Corp. PLC,ETN,0.247391
Uber Technologies Inc.,UBER,0.245419
Deere + Co.,DE,0.243758
Schwab (Charles) Corp.,SCHW,0.234518
Honeywell International Inc.,HON,0.232801
Intuitive Surgical Inc.,ISRG,0.226764
Booking Holdings Inc.,BKNG,0.222470
Blackrock Inc.,BLK,0.220391
Pfizer Inc.,PFE,0.218979
Cvs Health Corp.,CVS,0.210637
Progressive Corp.,PGR,0.207418
Prologis Inc.,PLD,0.206371
Salesforce Inc.,CRM,0.204979
Conocophillips,COP,0.204245
Applovin Corp. Class A,APP,0.203089
Capital One Financial Corp.,COF,0.200864
Vertex Pharmaceuticals Inc.,VRTX,0.197303
Lowe S Cos Inc.,LOW,0.197150
S+p Global Inc.,SPGI,0.195816
Danaher Corp.,DHR,0.195533
Altria Group Inc.,MO,0.194960
Chubb Ltd.,CB,0.194862
Parker Hannifin Corp.,PH,0.193284
Starbucks Corp.,SBUX,0.188619
Bristol Myers Squibb Co.,BMY,0.185842
Vertiv Holdings Co. A,VRT,0.184615
Dell Technologies C,DELL,0.182860
Stryker Corp.,SYK,0.181627
Southern Co.,SO,0.173292
Howmet Aerospace Inc.,HWM,0.170210
Equinix Inc.,EQIX,0.170122
Trane Technologies PLC,TT,0.167137
Cadence Design Sys Inc.,CDNS,0.164645
Medtronic PLC,MDT,0.164499
Quanta Services Inc.,PWR,0.163319
Lockheed Martin Corp.,LMT,0.162647
Newmont Corp.,NEM,0.162375
Servicenow Inc.,NOW,0.160467
Duke Energy Corp.,DUK,0.158381
Bank Of New York Mellon Corp.,BNY,0.155907
Pnc Financial Services Group,PNC,0.155663
Williams Cos Inc.,WMB,0.150519
Cummins Inc.,CMI,0.149744
Us Bancorp,USB,0.149599
Fortinet Inc.,FTNT,0.149128
Mckesson Corp.,MCK,0.145237
Freeport Mcmoran Inc.,FCX,0.142042
Automatic Data Processing,ADP,0.141393
Csx Corp.,CSX,0.140118
General Dynamics Corp.,GD,0.139233
Synopsys Inc.,SNPS,0.137705
Elevance Health Inc.,ELV,0.135787
Blackstone Inc.,BX,0.135642
3m Co.,MMM,0.135340
T Mobile Us Inc.,TMUS,0.134508
Johnson Controls Internation,JCI,0.133604
Constellation Energy,CEG,0.133533
Waste Management Inc.,WM,0.131830
Marriott International Cl A,MAR,0.130662
Comcast Corp. Class A,CMCSA,0.130610
Adobe Inc.,ADBE,0.129645
American Tower Corp.,AMT,0.129434
Marsh + Mclennan Cos,MRSH,0.128847
United Parcel Service Cl B,UPS,0.127743
Emerson Electric Co.,EMR,0.127165
Cme Group Inc.,CME,0.126704
Royal Caribbean Cruises Ltd.,RCL,0.125559
Datadog Inc. Class A,DDOG,0.125511
Accenture PLC Cl A,ACN,0.125290
Sherwin Williams Co.,SHW,0.124870
Robinhood Markets Inc. A,HOOD,0.123603
Mondelez International Inc. A,MDLZ,0.123514
Valero Energy Corp.,VLO,0.121850
Hilton Worldwide Holdings In,HLT,0.119894
American Electric Power,AEP,0.119391
Crh PLC,CRH,0.118744
